City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Fairbanks,US,64.8378,-147.7164,27.0,93,90,5.91,light snow
216,Ixtapa,MX,20.7,-105.2,77.0,73,40,10.36,scattered clouds
217,Tautira,PF,-17.7333,-149.15,87.8,58,75,2.3,broken clouds
218,Kapit,MY,2.0167,112.9333,74.16,94,100,1.3,overcast clouds
219,Porto Nacional,BR,-10.7081,-48.4172,78.8,83,75,10.36,broken clouds
220,Salalah,OM,17.0151,54.0924,71.6,40,0,5.75,clear sky
221,Gravdal,NO,68.1214,13.5031,25.99,90,0,16.93,clear sky
222,Nanning,CN,22.8167,108.3167,62.6,94,90,8.95,mist
223,Okato,NZ,-39.2,173.8833,61.0,83,72,21.99,broken clouds
224,Oranjestad,AW,12.524,-70.027,80.6,74,40,16.11,scattered clouds
225,Ternate,ID,0.8,127.4,82.71,72,44,4.25,scattered clouds
226,Mayo,US,38.8876,-76.5119,55.99,50,1,11.5,clear sky
227,Tucuma,BR,-0.1833,-50.05,73.67,94,100,3.83,overcast clouds
228,Malakal,SS,9.5334,31.6605,84.88,23,4,2.44,clear sky
229,Okhotsk,RU,59.3833,143.3,2.25,92,100,3.6,light snow
230,Ukiah,US,39.1502,-123.2078,46.4,71,90,4.61,overcast clouds
231,Sitka,US,57.0531,-135.33,39.2,70,90,12.66,overcast clouds
232,Abu Dhabi,AE,24.4667,54.3667,73.4,73,0,4.61,clear sky
233,Avdiyivka,UA,48.1399,37.7426,24.82,82,98,9.06,overcast clouds
234,Opuwo,NA,-18.0607,13.84,70.38,39,62,3.42,broken clouds
235,Luderitz,NA,-26.6481,15.1594,67.62,77,0,10.78,clear sky
236,Valparaiso,CL,-33.0393,-71.6273,68.0,52,0,9.22,clear sky
237,Quepos,CR,9.4236,-84.1652,75.2,60,40,13.8,scattered clouds
238,Belmonte,BR,-15.8631,-38.8828,77.0,73,0,6.91,clear sky
239,Monsenhor Gil,BR,-5.5642,-42.6078,78.8,78,0,4.61,clear sky
240,Lazi,UA,48.0667,24.2333,25.39,92,88,2.84,overcast clouds
241,Boden,SE,65.8252,21.6886,14.0,73,22,14.97,few clouds
242,Nabire,ID,-3.3667,135.4833,81.93,68,97,3.53,overcast clouds
243,Torbay,CA,47.6666,-52.7314,30.99,80,1,19.57,clear sky
244,Sikonge,TZ,-5.6333,32.7667,63.41,90,1,3.38,clear sky
245,Manuk Mangkaw,PH,4.8,119.85,82.81,73,100,8.7,heavy intensity rain
246,Alekseyevskaya,RU,50.2896,42.1845,1.99,77,2,8.68,clear sky
247,Vila Do Maio,CV,15.1333,-23.2167,68.0,73,75,20.71,broken clouds
248,Kruisfontein,ZA,-34.0033,24.7314,68.0,87,100,1.01,moderate rain
249,Raudeberg,NO,61.9875,5.1352,39.2,75,90,26.46,overcast clouds
250,Vung Tau,VN,10.346,107.0843,78.75,77,91,18.37,overcast clouds
251,Tlamacazapa,MX,18.5167,-99.5,93.0,23,1,3.44,clear sky
252,Yerbogachen,RU,61.2767,108.0108,-1.21,93,69,4.56,broken clouds
253,Mount Gambier,AU,-37.8333,140.7667,57.2,88,52,5.75,broken clouds
254,Tasiilaq,GL,65.6145,-37.6368,12.2,85,0,8.05,clear sky
255,Labuhan,ID,-6.8844,112.2051,78.82,84,76,5.73,broken clouds
256,Alamosa,US,37.4695,-105.87,37.4,22,1,13.8,clear sky
257,Cacak,RS,43.8914,20.3497,26.6,100,90,2.75,fog
258,Fayaoue,NC,-20.65,166.5333,79.32,65,11,10.67,few clouds
259,Shaki,AZ,41.0833,47.1667,39.2,81,90,6.91,overcast clouds
260,Missoula,US,47.0166,-113.8009,43.0,60,1,4.61,clear sky
261,Asyut,EG,27.181,31.1837,64.4,45,0,5.75,clear sky
262,Bengkulu,ID,-3.8004,102.2655,75.11,88,22,5.53,few clouds
263,Lagos,NG,6.5833,3.75,84.2,84,40,3.44,scattered clouds
264,Celestun,MX,20.8667,-90.4,78.75,63,0,18.43,clear sky
265,Salinas,US,36.6777,-121.6555,55.4,54,90,13.8,overcast clouds
266,Cape Coast,GH,5.1053,-1.2466,81.09,84,100,13.02,overcast clouds
267,Hope,US,33.6671,-93.5916,72.0,48,83,3.0,broken clouds
268,Berlevag,NO,70.8578,29.0864,17.24,92,100,20.38,overcast clouds
269,Vardo,NO,70.3705,31.1107,14.0,67,20,28.77,snow
270,Te Anau,NZ,-45.4167,167.7167,57.92,54,24,1.97,few clouds
271,Beyneu,KZ,45.3167,55.2,27.37,81,72,12.55,broken clouds
272,Jalu,LY,29.0331,21.5482,61.83,59,88,9.93,overcast clouds
273,Novoorsk,RU,51.381,58.9813,3.2,72,75,22.37,snow
274,Sovetskiy,RU,61.3614,63.5842,-20.92,87,70,5.32,broken clouds
275,Teknaf,BD,20.8624,92.3058,67.37,76,0,3.49,clear sky
276,Coffs Harbour,AU,-30.3,153.1333,77.0,78,90,4.61,moderate rain
277,Bouafle,CI,6.9904,-5.7442,78.8,89,75,4.0,broken clouds
278,Cherskiy,RU,68.75,161.3,-6.88,81,9,19.06,clear sky
279,Krasnogorskiy,RU,54.6025,61.231,8.49,94,100,22.3,light snow
280,Saint-Francois,FR,46.4154,3.9054,48.2,61,90,5.75,overcast clouds
281,Hamilton,US,39.1834,-84.5333,64.99,36,1,11.5,clear sky
282,Asbe Teferi,ET,9.0833,40.8667,64.17,45,29,4.29,scattered clouds
283,Hobbs,US,32.7026,-103.136,78.8,5,1,26.46,clear sky
284,Buzmeyin,TM,38.0507,58.2056,37.4,93,40,4.61,scattered clouds
285,Gumdag,TM,39.2061,54.5906,44.69,59,0,11.12,clear sky
286,Eura,FI,61.1333,22.1333,8.6,78,40,6.91,scattered clouds
287,Tual,ID,-5.6667,132.75,83.68,71,87,4.0,overcast clouds
288,La Ronge,CA,55.1001,-105.2842,15.8,35,99,13.8,overcast clouds
289,Urubicha,BO,-15.3833,-62.95,82.18,50,56,1.3,broken clouds
290,Mana,GF,5.6592,-53.7767,77.16,86,98,12.26,overcast clouds
291,Backa Topola,RS,45.8152,19.6318,33.57,84,27,2.3,scattered clouds
292,Vila,PT,42.0304,-8.1588,50.0,94,100,10.0,overcast clouds
293,Forestville,US,38.8451,-76.875,64.0,41,1,6.91,clear sky
294,Caravelas,BR,-17.7125,-39.2481,77.52,80,52,7.96,moderate rain
295,Port-Gentil,GA,-0.7193,8.7815,78.8,94,20,6.91,few clouds
296,Hayden,US,47.766,-116.7866,46.99,49,20,11.5,few clouds
297,Petersburg,US,37.2279,-77.4019,64.4,25,1,5.73,clear sky
298,Sherpur,BD,25.0188,90.0175,67.06,77,1,6.82,clear sky
299,Ostrovnoy,RU,68.0531,39.5131,1.74,90,31,13.69,scattered clouds
300,Nalgonda,IN,17.05,79.2667,65.98,82,0,1.83,clear sky
301,Taunggyi,MM,20.7833,97.0333,55.94,41,9,2.01,clear sky
302,Homer,US,59.6425,-151.5483,32.0,86,90,17.27,snow
303,Shenzhen,CN,22.5455,114.0683,68.0,84,84,1.01,broken clouds
304,Nelson Bay,AU,-32.7167,152.15,79.0,69,90,12.66,overcast clouds
305,Yucca Valley,US,34.1142,-116.4322,48.0,52,40,15.99,scattered clouds
306,Mporokoso,ZM,-9.3727,30.125,60.89,93,80,1.5,broken clouds
307,Progreso,MX,21.2833,-89.6667,80.6,54,20,12.66,few clouds
308,Wamba,NG,8.9333,8.6,78.87,44,85,0.87,overcast clouds
309,Paoua,CF,7.2427,16.4406,73.44,65,100,5.06,overcast clouds
310,Yulara,AU,-25.2406,130.9889,80.6,57,84,6.44,broken clouds
311,Bambous Virieux,MU,-20.3428,57.7575,78.8,78,40,11.5,scattered clouds
312,Namibe,AO,-15.1961,12.1522,74.91,72,70,6.17,broken clouds
313,Caramay,PH,10.1815,119.236,79.39,82,88,10.6,overcast clouds
314,Kirakira,SB,-10.4544,161.9205,83.57,75,97,6.24,overcast clouds
315,Parchim,DE,53.4263,11.8488,42.01,77,100,11.01,light rain
316,Half Moon Bay,US,37.4636,-122.4286,55.0,71,40,6.91,scattered clouds
317,Glasgow,GB,55.8652,-4.2576,46.99,93,75,26.46,moderate rain
318,Egvekinot,RU,66.3167,-179.1667,-27.15,87,39,2.93,scattered clouds
319,Muriwai Beach,NZ,-36.8167,174.45,72.0,79,62,8.01,broken clouds
320,Ambilobe,MG,-13.2,49.05,72.66,93,4,1.57,clear sky
321,Poum,NC,-20.2333,164.0167,79.75,71,35,14.47,scattered clouds
322,Diamantino,BR,-14.4086,-56.4461,72.34,92,100,5.14,moderate rain
323,Wanxian,CN,30.8039,108.3897,53.92,81,72,1.1,broken clouds
324,Itarema,BR,-2.9248,-39.9167,78.8,82,100,10.13,overcast clouds
325,Brae,GB,60.3964,-1.353,44.6,93,90,14.97,overcast clouds
326,Nantucket,US,41.2835,-70.0995,37.99,93,1,8.05,clear sky
327,Mount Isa,AU,-20.7333,139.5,84.2,61,40,4.61,scattered clouds
328,Birjand,IR,32.8663,59.2211,44.6,36,0,6.91,clear sky
329,Wicklow,IE,53.0,-6.4167,48.2,76,75,31.07,broken clouds
330,San Cristobal,VE,7.7669,-72.225,75.2,83,75,2.3,broken clouds
331,Namatanai,PG,-3.6667,152.4333,85.53,61,100,1.74,overcast clouds
332,Itaituba,BR,-4.2761,-55.9836,74.19,97,100,2.68,moderate rain
333,Charters Towers,AU,-20.1,146.2667,80.28,57,3,11.61,clear sky
334,Srandakan,ID,-7.9386,110.2506,78.3,83,93,3.78,overcast clouds
335,Vestmanna,FO,62.1564,-7.1664,37.4,100,20,2.3,few clouds
336,Ueda,JP,36.4,138.2667,39.0,74,0,1.14,clear sky
337,Huanan,CN,46.2167,130.5167,24.91,94,15,2.44,few clouds
338,Qandala,SO,11.472,49.8728,76.55,65,0,5.77,clear sky
339,Talnakh,RU,69.4865,88.3972,-28.68,83,100,5.82,overcast clouds
340,Young,UY,-32.6833,-57.6333,72.97,52,4,9.01,clear sky
341,Tuatapere,NZ,-46.1333,167.6833,55.99,68,50,1.01,scattered clouds
342,Videira,BR,-27.0083,-51.1517,56.86,83,0,0.58,clear sky
343,Kieta,PG,-6.2167,155.6333,85.46,60,37,3.87,scattered clouds
344,Hualmay,PE,-11.0964,-77.6139,73.58,72,97,8.93,overcast clouds
345,Norman Wells,CA,65.282,-126.8329,6.8,72,75,12.66,light snow
346,Telma,RU,52.6983,103.7097,17.6,73,0,6.71,clear sky
347,Merauke,ID,-8.4667,140.3333,80.82,77,72,4.92,broken clouds
